regime,pool,stat,point,lo,hi,p_boot
Human (AC decisions),full,lift,0.17077129937659488,0.015681726445035623,0.31352218286119876,
Human (score top-N),full,lift,0.3480967821276939,0.17298143962179813,0.48827317026176936,
"Human (disagreement-adjusted, λ=+1)",full,lift,0.3501898216606912,0.1694615059805926,0.48781796456007903,
LLM Committee (Gemma),full,lift,0.9732886876856336,0.8381525601411575,1.0999199037785903,
LLM Decision Head,full,lift,0.8796846835151763,0.7467319380689357,1.0152817541479648,
LLM Committee (Gemma) − Human (AC decisions),full,gap,0.8025173883090387,0.6627868213575496,0.9810044378764283,0.0
LLM Committee (Gemma) − Human (score top-N),full,gap,0.6251919055579397,0.4513425245313563,0.8322388483849797,0.0
LLM Decision Head − Human (AC decisions),full,gap,0.7089133841385814,0.5714276257912959,0.8863295541415175,0.0
LLM Decision Head − Human (score top-N),full,gap,0.5315879013874824,0.36555439781073934,0.7310030812532953,0.0
Human (AC decisions),leakage_excluded,lift,-0.09288134311580971,-0.2430522022486315,0.0845934446005553,
Human (score top-N),leakage_excluded,lift,0.16126780858887477,-0.06345442196614492,0.39761333267688587,
"Human (disagreement-adjusted, λ=+1)",leakage_excluded,lift,0.3044569461456124,0.07639730142071126,0.5292232945772037,
LLM Committee (Gemma),leakage_excluded,lift,0.6799159382548418,0.435396603934564,0.9321032574779473,
LLM Decision Head,leakage_excluded,lift,0.6860190971391597,0.41968117086795953,0.8914954468569621,
LLM Committee (Gemma) − Human (AC decisions),leakage_excluded,gap,0.7727972813706515,0.5331974819779974,1.0350223000157581,0.0
LLM Committee (Gemma) − Human (score top-N),leakage_excluded,gap,0.518648129665967,0.3029996107239898,0.7874009772609377,0.0
LLM Decision Head − Human (AC decisions),leakage_excluded,gap,0.7789004402549694,0.46670337568937487,1.0169270324881026,0.0
LLM Decision Head − Human (score top-N),leakage_excluded,gap,0.5247512885502849,0.1699685147509204,0.8140923714413764,0.001
