regime,pool,stat,point,lo,hi,p_boot
Human (AC decisions),full,lift,1.6675176612238989,1.4936863408157448,1.9324637485085678,
Human (score top-N),full,lift,1.4946947943046889,1.3024479005380947,1.7141468704228584,
"Human (disagreement-adjusted, λ=+1)",full,lift,1.1290336718910081,0.9622394018933993,1.3477476315129966,
LLM Committee (Gemma),full,lift,2.0384394410896527,1.8459442710620337,2.278720646138216,
LLM Decision Head,full,lift,1.8251427234978088,1.66322139320868,2.059758961629537,
LLM Committee (Gemma) − Human (AC decisions),full,gap,0.3709217798657538,0.18447903271613428,0.5227103617925903,0.0
LLM Committee (Gemma) − Human (score top-N),full,gap,0.5437446467849638,0.36684613422599643,0.7466187221375553,0.0
LLM Decision Head − Human (AC decisions),full,gap,0.15762506227390993,-0.01610665023676435,0.32724982577535594,0.092
LLM Decision Head − Human (score top-N),full,gap,0.33044792919311994,0.16774586270016476,0.5313094290155991,0.0
Human (AC decisions),leakage_excluded,lift,2.072023623997218,1.8208225269694231,2.4175707763116376,
Human (score top-N),leakage_excluded,lift,1.7601860823335453,1.501635891915558,2.1095785259232174,
"Human (disagreement-adjusted, λ=+1)",leakage_excluded,lift,1.632077581674416,1.2651257166720378,1.8723762162850914,
LLM Committee (Gemma),leakage_excluded,lift,2.0995059480550005,1.8476465674424654,2.468246095338786,
LLM Decision Head,leakage_excluded,lift,1.7719963604346667,1.503207305492321,2.1005322412984975,
LLM Committee (Gemma) − Human (AC decisions),leakage_excluded,gap,0.027482324057782392,-0.2381855983212503,0.3113618164625703,0.833
LLM Committee (Gemma) − Human (score top-N),leakage_excluded,gap,0.3393198657214551,0.0823293397392452,0.6072533737752522,0.011
LLM Decision Head − Human (AC decisions),leakage_excluded,gap,-0.3000272635625514,-0.5774141419774415,-0.04413400586181417,0.017
LLM Decision Head − Human (score top-N),leakage_excluded,gap,0.011810278101121341,-0.28237843308016214,0.2900059741475282,0.946
