regime,pool,stat,point,lo,hi,p_boot
Human (AC decisions),full,lift,0.9449643062597647,0.8085022310809565,1.091191459289821,
Human (score top-N),full,lift,0.8441260516129803,0.7150691518992923,1.0238778202656367,
"Human (disagreement-adjusted, λ=+1)",full,lift,0.7050511493409667,0.54255515644045,0.8620772088625648,
LLM Committee (Gemma),full,lift,1.396118028470721,1.2954121172556827,1.4782936548513557,
LLM Decision Head,full,lift,1.2544188125284659,1.1375928864455602,1.37007661467669,
LLM Committee (Gemma) − Human (AC decisions),full,gap,0.4511537222109564,0.30045973915064983,0.5828600116139343,0.0
LLM Committee (Gemma) − Human (score top-N),full,gap,0.5519919768577408,0.35529407190629503,0.6873808519378277,0.0
LLM Decision Head − Human (AC decisions),full,gap,0.3094545062687012,0.1710721300152365,0.4624089437123429,0.0
LLM Decision Head − Human (score top-N),full,gap,0.4102927609154856,0.2211939514879438,0.560485815932855,0.0
Human (AC decisions),leakage_excluded,lift,0.9000038425505892,0.6683782276622791,1.15287393653772,
Human (score top-N),leakage_excluded,lift,0.8720765911558686,0.6469779625715902,1.119382048043473,
"Human (disagreement-adjusted, λ=+1)",leakage_excluded,lift,0.839614218601823,0.60689909731863,1.0718340989408195,
LLM Committee (Gemma),leakage_excluded,lift,1.193266681565395,0.9890749495912109,1.4409892004347522,
LLM Decision Head,leakage_excluded,lift,1.0822549595564042,0.8393417388146872,1.30029081376959,
LLM Committee (Gemma) − Human (AC decisions),leakage_excluded,gap,0.29326283901480577,0.07522351857645083,0.563714069401825,0.007
LLM Committee (Gemma) − Human (score top-N),leakage_excluded,gap,0.3211900904095264,0.113125534193318,0.5714837724079327,0.0
LLM Decision Head − Human (AC decisions),leakage_excluded,gap,0.18225111700581498,-0.151515635501925,0.4985222125346601,0.282
LLM Decision Head − Human (score top-N),leakage_excluded,gap,0.2101783684005356,-0.12224085629451659,0.536285833360374,0.242
