regime,pool,stat,point,lo,hi,p_boot
Human (AC decisions),full,lift,0.43115098494681986,0.3029746425522651,0.5948820890830471,
Human (score top-N),full,lift,0.5522581703830991,0.3993308594577591,0.7002163252895303,
"Human (disagreement-adjusted, λ=+1)",full,lift,0.48626330878615986,0.35074390195879485,0.6449700108397227,
LLM Committee (Gemma),full,lift,1.2494471222475008,1.1131181132185721,1.3891064535668871,
LLM Decision Head,full,lift,1.1473450896114246,1.0208491663565706,1.2998693228457545,
LLM Committee (Gemma) − Human (AC decisions),full,gap,0.818296137300681,0.6558441458354103,0.9623762989134512,0.0
LLM Committee (Gemma) − Human (score top-N),full,gap,0.6971889518644017,0.554509894045613,0.8736703568100812,0.0
LLM Decision Head − Human (AC decisions),full,gap,0.7161941046646048,0.5640703051635146,0.8766258306375266,0.0
LLM Decision Head − Human (score top-N),full,gap,0.5950869192283255,0.45482874645301175,0.782700086513742,0.0
Human (AC decisions),leakage_excluded,lift,0.2470367031949737,0.0695221726162204,0.4365035827194184,
Human (score top-N),leakage_excluded,lift,0.39274157932007303,0.1823938622740398,0.5862774446123828,
"Human (disagreement-adjusted, λ=+1)",leakage_excluded,lift,0.43621251891454005,0.24585374511104416,0.6612571115023608,
LLM Committee (Gemma),leakage_excluded,lift,0.8959834851348859,0.6448570624603379,1.140265207011969,
LLM Decision Head,leakage_excluded,lift,0.8274193835660579,0.5665139839143687,1.0336523346709472,
LLM Committee (Gemma) − Human (AC decisions),leakage_excluded,gap,0.6489467819399122,0.4184823549549358,0.8861447358974057,0.0
LLM Committee (Gemma) − Human (score top-N),leakage_excluded,gap,0.5032419058148129,0.30386791268314783,0.744076082987079,0.0
LLM Decision Head − Human (AC decisions),leakage_excluded,gap,0.5803826803710842,0.33561009697824074,0.7900550252827608,0.0
LLM Decision Head − Human (score top-N),leakage_excluded,gap,0.4346778042459849,0.14487865763162325,0.6773377102855158,0.001
